#,Menu_Item,SKU,Location,Category,Ingredients,Description,Price,Image,Order Online
1,A01L.Spring Roll,A01L,Hamilton,APPETIZERS,pork/ carrots/ taro,"Looking for something crunchy and full of flavor? Our Deep Fried Spring Rolls are just the ticket. Filled with seasoned pork, carrots, and taro before being deep-fried to perfection; these rolls provide a delightful combination of textures and flavor in every bite! The perfect snack or side dish for any meal – pair them up with our famous Pad Thai or a big bowl of Pho soup.
 
**Extra Sauce won't be given with the note.
 (If you require cutlery set, please selec""Add on Cutlery Set"", it won't be given with the note).

",$7.75 ,https://stream.quickposhub.com/0b1f3af0e01b4e2b8b75145f4b4940a1.png,https://cloud.quickposhub.com/onlineorder/#/pages/order/index?hotelid=102503&fc=up
2,A07L.(ROLL)Pork+Shrimp,A07L,Hamilton,APPETIZERS,"Pork, Shrimp, Lettuce, Vermicelli noodles, Bean sprouts, Mint leaves, Rice wrap /","Experience the freshness and flavor of Vietnamese-style Fresh Rolls! Our rolls are filled with succulent shrimp, tender pork, crisp lettuce, tender vermicelli noodles, crunchy bean sprouts and aromatic mint leaves, all wrapped in a delicate rice wrap. Dive into an explosion of flavors and textures that will tantalize your taste buds!
 
**Extra Sauce won't be given with the note.
 (If you require cutlery set, please select ""Add on Cutlery Set"", it won't be given with the note) .
",$9.75 ,https://stream.quickposhub.com/d2467987622f4e159abd6479f1b0c0a0.jpg,https://cloud.quickposhub.com/onlineorder/#/pages/order/index?hotelid=102503&fc=up
3,A08L.(ROLL) Pork,A08L,Hamilton,APPETIZERS,"Grilled pork, bean sprouts, vermicelli noodles, mint leaves, rice wrap.","Unwrap and savor the taste of freshly rolled Vietnamese-style Fresh Rolls! Filled with grilled pork marinated to perfection, crunchy bean sprouts, smooth vermicelli noodles and fresh mint leaves enveloped in a delicate rice wrap - these rolls are sure to tantalize your taste buds.
 
**Extra Sauce won't be given with the note.
 (If you require cutlery set, please select ""Add on Cutlery Set"", it won't be given with the note).
",$9.75 ,https://stream.quickposhub.com/254552fd9d14409a811fe9d64abd891e.jpg,https://cloud.quickposhub.com/onlineorder/#/pages/order/index?hotelid=102503&fc=up
4,A09L.(ROLL) Beef,A09L,Hamilton,APPETIZERS,grilled beef / lettuce / bean sprouts / mint leaves / vermicelli / rice wrapper.,"Dive into a world of succulent grilled beef complemented by crisp lettuce, crunchy bean sprouts, fragrant mint leaves, and silky vermicelli - all wrapped in a refreshingly light and flavorful rice wrapper. Enjoy a unique and unforgettable flavor journey with each bite! **
 
Extra Sauce won't be given with the note.
 (If you require cutlery set, please select ""Add on Cutlery Set"", it won't be given with the note).
",$9.75 ,https://stream.quickposhub.com/d39a0d5894c34bc1a9ff5fde35b3d170.jpg,https://cloud.quickposhub.com/onlineorder/#/pages/order/index?hotelid=102503&fc=up
5,A10L.(ROLL) Chicken,A10L,Hamilton,APPETIZERS,"grilled chicken, bean sprouts, lettuce, vermicelli noodles, mint leaves, rice wrap","Treat your taste buds to a tantalizing experience with these rolls, featuring succulent grilled chicken marinated in deliciousness, crunchy bean sprouts, lettuce, silky vermicelli noodles and fragrant mint leaves enveloped in an exquisite rice wrap.
 
**Extra Sauce won't be given with the note.
 (If you require cutlery set, please select ""Add on Cutlery Set"", it won't be given with the note).
",$9.75 ,https://stream.quickposhub.com/cc9db2fe467548e0b0ff1ef16f178260.jpg,https://cloud.quickposhub.com/onlineorder/#/pages/order/index?hotelid=102503&fc=up
6,A11L.(ROLL) Shrimp,A11L,Hamilton,APPETIZERS,shrimp / lettuce / bean sprouts / mint leaves / vermicelli noodles / rice paper,"Treat your taste buds to a delightful journey with our succulent Vietnamese style Fresh Rolls. Stuffed with juicy shrimp, crisp lettuce, crunchy bean sprouts, aromatic mint leaves, and soft vermicelli noodles - all wrapped together in an airy rice-paper roll - these rolls make for an extraordinary culinary experience! Perfect Appetizer!
 
**Extra Sauce won't be given with the note.
 (If you require cutlery set, please select ""Add on Cutlery Set"", it won't be given with the note).

",$9.75 ,https://stream.quickposhub.com/66102e0f9b604fabbef28671176b73ae.jpg,https://cloud.quickposhub.com/onlineorder/#/pages/order/index?hotelid=102503&fc=up
7,Q01L. Shrimp Wonton (FRIED),Q01L,Hamilton,APPETIZERS,shrimp / wonton wrappers / seasoning / oil for frying,"Indulge in a delicious bite of deep-fried seafood goodness with our golden, crispy shrimp wontons. Perfectly seasoned and filled with succulent shrimp, these wontons have a delightful crunch and will tantalize your taste-buds. Enjoy as an appetizer or snack - you won 't be able to resist! 
 
**Extra Sauce won't be given with the note.
 (If you require cutlery set, please select ""Add on Cutlery Set"", it won't be given with the note).",$12.65 ,https://stream.quickposhub.com/d1485d6f81ef49338c38f0d471132188.jpg,https://cloud.quickposhub.com/onlineorder/#/pages/order/index?hotelid=102503&fc=up
8,Q02L.Chicken Wing (BUTTER),Q02L,Hamilton,APPETIZERS,Chicken wings / fish sauce / butter.,"This is a customer favorite. An indescribable fish and butter sauce combo is poured over perfectly crispy chicken wings. Every bite of these tantalizing butter chicken wings will have your taste buds begging for more! Try some today and discover why Torontonians are so obsessed with this Toronto Pho classic. 
 
**Extra Sauce won't be given with the note.
 (If you require cutlery set, please select ""Add on Cutlery Set"", it won't be given with the note).
",$13.35 ,https://stream.quickposhub.com/9aa8260ef16a4d59bddf249278b31a79.png,https://cloud.quickposhub.com/onlineorder/#/pages/order/index?hotelid=102503&fc=up
9,Q03L.Wings (FISH SAUCE),Q03L,Hamilton,APPETIZERS,chicken wings / fish sauce / sugar / garlic / chili / lime / cilantro,"Classic fish sauce wings get an upgrade with Toronto Pho's take on this beloved dish. Juicy, deep fried chicken wings are tossed in a sweet and savory fish sauce glaze - the perfect combination of crunchy, salty, and sweet. **
 
Extra Sauce won' t be given with the note.
 (If you require cutlery set, please select ""Add on Cutlery Set"", it won't be given with the note).
",$13.35 ,https://stream.quickposhub.com/5ccd25fdb8624562930041259652e2c6.png,https://cloud.quickposhub.com/onlineorder/#/pages/order/index?hotelid=102503&fc=up
10,P05L.(PHO)Rare+Tripe,P05L,Hamilton,BEEF BROTH,Rare beef/tripe/rice noodles/beef broth/warm spices/fresh herbs,"Indulge your taste buds in the ultimate comfort food with Toronto Pho's Rare Beef and Tripe pho. Savor the fragrant, aromatic broth, punctuated with warm spices and fresh herbs. Sink your spoon into the silky texture of our signature rice noodles, and top it off with perfectly cooked rare beef and tripe. Enjoy a bowl of deliciousness that'll have your tastebuds singing! 
 
**Extra Sauce won't be given with the note.
 (If you require cutlery set, please select ""Add on Cutlery Set"", it won't be given with the note).",$17.75 ,https://stream.quickposhub.com/5a51706be3bc4f24a591e15edc4e64cc.png,https://cloud.quickposhub.com/onlineorder/#/pages/order/index?hotelid=102503&fc=up
